ARTIST,LABEL,NOTES
bright eyes & neva dinova,crank!,""
environmental youth crunch/pink razors,dead tank,"first press, pink. (???/???)"
la quiete/louise cyphere,electric human project,"clear/red splatter (??/???)"
man is the bastard/aunt mary,deep six,"2012 ressie"
"no comply/los crustaceos","a product of six cents/frei zum abriss kollektiv","lathe cut, clear (?/10)"
raein/daïtro,ape must not kill ape,"first press pink splatter (?/600)"
"shikari/seein' red",deadlock,"(???/600)"
"su19b/lucanthrophy","625/psychocontrol",""
"supression/no comply","to live a lie",""
the cinema eye/audion,sound virus,"clear (?/521), first press"
the kayembii communique/the vidablue,blood of the young,"blue (??/1100)"
"thou/barghest: i hate thou b/w eyehatethou",elder magick,""
