SIZE,ARTIST,TITLE,LABEL,NOTES
5 inch,neil perry,"young lovers fan club #1",blood of the young,"Young Lovers Fan Club, yellow. (???/80~)"
5 inch split,"ampere/welcome the plague year","",clean plate,"blue, tour version 2005"
"","","","",""
6 inch,"ampere/ringers","","no idea!",clear red
"","","","",""
8.375 inch,"casiotone for the painfully alone/concern","",people in a position to know,"split 8.375", square, one sided, marble brown"
"","","","",""
9 inch,"shikari/louise cyphre","","level-plane",""
9 inch,"ampere/funeral diner","","electric human project/clean plate",""
"","","","",""
11 inch,"","live at dead air (1/15/2006)",clean plate,"four way split 11" (ampere/wasteland/death to tyrants/daniel striped tiger) #247/330"
